country,iso2c,iso3c,year,rd_expenditure_pct,region_category
United Kingdom,GB,GBR,2019,2.6708,1. The West (OECD)
United Kingdom,GB,GBR,2018,2.71124,1. The West (OECD)
United Kingdom,GB,GBR,2017,2.32602,1. The West (OECD)
United Kingdom,GB,GBR,2016,2.32052,1. The West (OECD)
United Kingdom,GB,GBR,2015,2.27566,1. The West (OECD)
United Kingdom,GB,GBR,2014,2.26488,1. The West (OECD)
United Kingdom,GB,GBR,2013,1.62096,1. The West (OECD)
United Kingdom,GB,GBR,2012,1.57587,1. The West (OECD)
United Kingdom,GB,GBR,2011,1.64681,1. The West (OECD)
United Kingdom,GB,GBR,2010,1.63886,1. The West (OECD)
United Kingdom,GB,GBR,2009,1.66991,1. The West (OECD)
United Kingdom,GB,GBR,2008,1.60901,1. The West (OECD)
United Kingdom,GB,GBR,2007,1.6183,1. The West (OECD)
United Kingdom,GB,GBR,2006,1.57626,1. The West (OECD)
United Kingdom,GB,GBR,2005,1.55004,1. The West (OECD)
United Kingdom,GB,GBR,2004,1.53089,1. The West (OECD)
United Kingdom,GB,GBR,2003,1.58131,1. The West (OECD)
United Kingdom,GB,GBR,2002,1.61383,1. The West (OECD)
United Kingdom,GB,GBR,2001,1.59545,1. The West (OECD)
United Kingdom,GB,GBR,2000,1.60963,1. The West (OECD)
United States,US,USA,2022,3.58623,1. The West (OECD)
United States,US,USA,2021,3.48313,1. The West (OECD)
United States,US,USA,2020,3.42467,1. The West (OECD)
United States,US,USA,2019,3.14704,1. The West (OECD)
United States,US,USA,2018,2.99045,1. The West (OECD)
United States,US,USA,2017,2.88357,1. The West (OECD)
United States,US,USA,2016,2.83676,1. The West (OECD)
United States,US,USA,2015,2.77328,1. The West (OECD)
United States,US,USA,2014,2.70881,1. The West (OECD)
United States,US,USA,2013,2.69592,1. The West (OECD)
United States,US,USA,2012,2.67273,1. The West (OECD)
United States,US,USA,2011,2.73803,1. The West (OECD)
United States,US,USA,2010,2.71444,1. The West (OECD)
United States,US,USA,2009,2.79181,1. The West (OECD)
United States,US,USA,2008,2.74481,1. The West (OECD)
United States,US,USA,2007,2.61516,1. The West (OECD)
United States,US,USA,2006,2.54545,1. The West (OECD)
United States,US,USA,2005,2.50193,1. The West (OECD)
United States,US,USA,2004,2.48686,1. The West (OECD)
United States,US,USA,2003,2.55015,1. The West (OECD)
United States,US,USA,2002,2.54745,1. The West (OECD)
United States,US,USA,2001,2.63715,1. The West (OECD)
United States,US,USA,2000,2.61983,1. The West (OECD)
